Divipola,Nombre,Indicativo
25793,Tausa,601
25797,Tena,601
25799,Tenjo,601
25805,Tibacuy,601
25807,Tibirita,601
25815,Tocaima,601
25817,Tocancipá,601
25823,Topaipí,601
25839,Ubalá,601
25841,Ubaque,601
25843,Villa de San Diego de Ubate,601
25845,Une,601
25851,Útica,601
25862,Vergara,601
25867,Vianí,601
25871,Villagómez,601
25873,Villapinzón,601
25875,Villeta,601
25878,Viotá,601
25885,Yacopí,601
25898,Zipacón,601
25899,Zipaquirá,601
27001,Quibdó,604
27006,Acandí,604
27025,Alto Baudo,604
27050,Atrato,604
27073,Bagadó,604
27075,Bahía Solano,604
27077,Bajo Baudó,604
27086,Belén de Bajirá,604
27099,Bojaya,604
27135,El Cantón del San Pablo,604
27150,Carmen del Darien,604
27160,Cértegui,604
27205,Condoto,604
27245,El Carmen de Atrato,604
27250,El Litoral del San Juan,604
27361,Istmina,604
27372,Juradó,604
27413,Lloró,604
27425,Medio Atrato,604
27430,Medio Baudó,604
27450,Medio San Juan,604
27491,Nóvita,604
27495,Nuquí,604
27580,Río Iro,604
27600,Río Quito,604
27615,Riosucio,604
27660,San José del Palmar,604
27745,Sipí,604
27787,Tadó,604
27800,Unguía,604
27810,Unión Panamericana,604
41001,Neiva,608
41006,Acevedo,608
41013,Agrado,608
41016,Aipe,608
41020,Algeciras,608
41026,Altamira,608
41078,Baraya,608
41132,Campoalegre,608
41206,Colombia,608
41244,Elías,608
41298,Garzón,608
41306,Gigante,608
41319,Guadalupe,608
41349,Hobo,608
41357,Iquira,608
41359,Isnos,608
41378,La Argentina,608
41396,La Plata,608
41483,Nátaga,608
41503,Oporapa,608
41518,Paicol,608
41524,Palermo,608
41530,Palestina,608
41548,Pital,608
41551,Pitalito,608
41615,Rivera,608
41660,Saladoblanco,608
41668,San Agustín,608
41676,Santa María,608
41770,Suaza,608
41791,Tarqui,608
41797,Tesalia,608
41799,Tello,608
41801,Teruel,608
41807,Timaná,608
41872,Villavieja,608
41885,Yaguará,608
44001,Riohacha,605
44035,Albania,605
44078,Barrancas,605
44090,Dibulla,605
44098,Distracción,605
44110,El Molino,605
44279,Fonseca,605
44378,Hatonuevo,605
44420,La Jagua del Pilar,605
44430,Maicao,605
44560,Manaure,605
44650,San Juan del Cesar,605
44847,Uribia,605
44855,Urumita,605
44874,Villanueva,605
47001,Santa Marta,605
47030,Algarrobo,605
47053,Aracataca,605
47058,Ariguaní,605
47161,Cerro San Antonio,605
47170,Chivolo,605
47189,Ciénaga,605
47205,Concordia,605
47245,El Banco,605
47258,El Piñon,605
47268,El Retén,605
47288,Fundación,605
47318,Guamal,605
47460,Nueva Granada,605
47541,Pedraza,605
47545,Pijiño del Carmen,605
47551,Pivijay,605
47555,Plato,605
47570,Puebloviejo,605
47605,Remolino,605
47660,Sabanas de San Angel,605
47675,Salamina,605
47692,San Sebastián de Buenavista,605
47703,San Zenón,605
47707,Santa Ana,605
47720,Santa Bárbara de Pinto,605
47745,Sitionuevo,605
47798,Tenerife,605
47960,Zapayán,605
47980,Zona Bananera,605
50001,Villavicencio,608
50006,Acacías,608
50110,Barranca de Upía,608
50124,Cabuyaro,608
50150,Castilla la Nueva,608
50223,Cubarral,608
50226,Cumaral,608
50245,El Calvario,608
50251,El Castillo,608
50270,El Dorado,608
50287,Fuente de Oro,608
50313,Granada,608
50318,Guamal,608
50325,Mapiripán,608
50330,Mesetas,608
50350,La Macarena,608
50370,Uribe,608
50400,Lejanías,608
50450,Puerto Concordia,608
